문제,정답,오답1,오답2,오답3,힌트,묶음,난이도
1L는 몇 mL일까?,1000,,,,1L는 1000mL야,들이 바꾸기,
2L는 몇 mL일까?,2000,,,,1L는 1000mL야,들이 바꾸기,
3L는 몇 mL일까?,3000,,,,1L는 1000mL야,들이 바꾸기,
5L는 몇 mL일까?,5000,,,,1L는 1000mL야,들이 바꾸기,
8L는 몇 mL일까?,8000,,,,1L는 1000mL야,들이 바꾸기,
2000mL는 몇 L일까?,2,,,,1000mL가 1L야,들이 바꾸기,
4000mL는 몇 L일까?,4,,,,1000mL가 1L야,들이 바꾸기,
6000mL는 몇 L일까?,6,,,,1000mL가 1L야,들이 바꾸기,
9000mL는 몇 L일까?,9,,,,1000mL가 1L야,들이 바꾸기,
1kg은 몇 g일까?,1000,,,,1kg은 1000g이야,무게 바꾸기,
2kg은 몇 g일까?,2000,,,,1kg은 1000g이야,무게 바꾸기,
4kg은 몇 g일까?,4000,,,,1kg은 1000g이야,무게 바꾸기,
7kg은 몇 g일까?,7000,,,,1kg은 1000g이야,무게 바꾸기,
10kg은 몇 g일까?,10000,,,,1kg은 1000g이야,무게 바꾸기,
3000g은 몇 kg일까?,3,,,,1000g이 1kg이야,무게 바꾸기,
5000g은 몇 kg일까?,5,,,,1000g이 1kg이야,무게 바꾸기,
8000g은 몇 kg일까?,8,,,,1000g이 1kg이야,무게 바꾸기,
12000g은 몇 kg일까?,12,,,,1000g이 1kg이야,무게 바꾸기,
300mL + 400mL는 몇 mL일까?,700,,,,그냥 더하면 돼,들이 더하기,
250mL + 150mL는 몇 mL일까?,400,,,,그냥 더하면 돼,들이 더하기,
600mL + 300mL는 몇 mL일까?,900,,,,그냥 더하면 돼,들이 더하기,
1200mL + 800mL는 몇 mL일까?,2000,,,,그냥 더하면 돼,들이 더하기,
900g − 400g은 몇 g일까?,500,,,,그냥 빼면 돼,무게 빼기,
750g − 250g은 몇 g일까?,500,,,,그냥 빼면 돼,무게 빼기,
1500g − 600g은 몇 g일까?,900,,,,그냥 빼면 돼,무게 빼기,
2200g − 700g은 몇 g일까?,1500,,,,그냥 빼면 돼,무게 빼기,
1L 500mL는 몇 mL일까?,1500,,,,1L가 1000mL야,섞인 단위,심화
2L 300mL는 몇 mL일까?,2300,,,,2L가 2000mL야,섞인 단위,심화
3L 750mL는 몇 mL일까?,3750,,,,3L가 3000mL야,섞인 단위,심화
1L 250mL는 몇 mL일까?,1250,,,,1L가 1000mL야,섞인 단위,심화
4L 100mL는 몇 mL일까?,4100,,,,4L가 4000mL야,섞인 단위,심화
2kg 400g은 몇 g일까?,2400,,,,2kg이 2000g이야,섞인 단위,심화
1kg 800g은 몇 g일까?,1800,,,,1kg이 1000g이야,섞인 단위,심화
3kg 250g은 몇 g일까?,3250,,,,3kg이 3000g이야,섞인 단위,심화
5kg 600g은 몇 g일까?,5600,,,,5kg이 5000g이야,섞인 단위,심화
1200mL와(과) 900mL 중 더 많은 것은 몇 mL일까?,1200,,,,큰 수를 고르면 돼,들이 비교,심화
2500mL와(과) 2050mL 중 더 많은 것은 몇 mL일까?,2500,,,,큰 수를 고르면 돼,들이 비교,심화
750mL와(과) 800mL 중 더 많은 것은 몇 mL일까?,800,,,,큰 수를 고르면 돼,들이 비교,심화
3100mL와(과) 2900mL 중 더 많은 것은 몇 mL일까?,3100,,,,큰 수를 고르면 돼,들이 비교,심화
500g에서 300g을 쓰고 150g을 더 쓰면 몇 g이 남을까?,50,,,,두 번 빼면 돼,두 단계,심화
1200g에서 400g을 쓰고 300g을 더 쓰면 몇 g이 남을까?,500,,,,두 번 빼면 돼,두 단계,심화
800g에서 250g을 쓰고 150g을 더 쓰면 몇 g이 남을까?,400,,,,두 번 빼면 돼,두 단계,심화
2000g에서 600g을 쓰고 500g을 더 쓰면 몇 g이 남을까?,900,,,,두 번 빼면 돼,두 단계,심화
