문제,정답,오답1,오답2,오답3,힌트,묶음,난이도
바다에서 왜군을 크게 무찌른 조선의 장군은?,이순신,,,,난중일기를 썼어,인물,
행주산성에서 왜군을 물리친 장군은?,권율,,,,백성들도 함께 싸웠어,인물,
붉은 옷을 입고 의병을 이끈 사람은?,곽재우,,,,홍의장군이라고 불렸어,인물,
이순신을 장군으로 추천한 조선의 신하는?,유성룡,,,,징비록을 썼어,인물,
진주성에서 왜군을 막아낸 장군은?,김시민,,,,진주 대첩이야,인물,
나라를 지키려고 백성이 스스로 만든 군대는?,의병,,,,스스로 일어난 군사라는 뜻이야,인물,
학이 날개를 편 모양으로 왜군을 감싼 싸움은?,한산도 대첩,,,,학익진을 썼어,싸움,
배 열두 척으로 큰 왜군을 막아낸 싸움은?,명량 대첩,,,,좁은 바닷목의 빠른 물살을 이용했어,싸움,
권율이 산성에서 왜군을 물리친 싸움은?,행주 대첩,,,,백성들이 돌을 날랐어,싸움,
김시민이 성을 지켜낸 싸움은?,진주 대첩,,,,성을 끝까지 지켰어,싸움,
이순신이 마지막으로 싸우다 목숨을 잃은 싸움은?,노량 해전,,,,물러가는 왜군을 끝까지 쫓았어,싸움,
이순신이 처음으로 이긴 싸움은?,옥포 해전,,,,전쟁이 시작되고 첫 승리야,싸움,
지붕을 덮고 쇠못을 박아 적이 못 오르게 만든 배는?,거북선,,,,용머리에서 연기가 나와,배와 무기,
조선 수군의 크고 튼튼한 주력 배는?,판옥선,,,,위층에서 활을 쏘고 대포를 쏴,배와 무기,
배에 실어 멀리 쏘던 조선의 큰 무기는?,화포,,,,대포야,배와 무기,
화살에 불을 붙여 여러 발을 한꺼번에 쏘던 무기는?,신기전,,,,로켓처럼 날아가,배와 무기,
이순신이 전쟁 중에 날마다 적은 기록은?,난중일기,징비록,삼국사기,조선왕조실록,전쟁 중의 일기라는 뜻이야,기록,
유성룡이 전쟁을 되돌아보며 남긴 기록은?,징비록,난중일기,삼국유사,동의보감,다시는 그러지 말자는 뜻이야,기록,
임진왜란 때 조선을 도우러 온 나라는?,명나라,일본,몽골,거란,당시 중국의 나라야,기록,
임진왜란이 끝난 뒤 다시 쳐들어온 전쟁을 뭐라고 할까?,정유재란,병자호란,임진왜란,을미사변,몇 해 뒤에 다시 왔어,기록,
이순신이 바다에서 이길 수 있었던 까닭은?,물길을 잘 알아서,배가 많아서,군사가 많아서,날씨가 좋아서,바다를 아는 사람이 이겨,왜 그랬을까,심화
거북선을 만든 까닭은?,적이 배에 못 뛰어들게 하려고,빨리 가려고,멀리 보려고,무거우려고,지붕을 덮고 못을 박았어,왜 그랬을까,심화
명량에서 열두 척으로 이긴 방법은?,좁은 물목에서 싸워서,밤에 싸워서,불을 질러서,숨어 있어서,좁으면 많은 쪽이 힘을 못 써,왜 그랬을까,심화
의병이 스스로 일어난 까닭은?,내 고장을 지키려고,상을 받으려고,왕이 불러서,군사가 되려고,누가 시켜서 한 게 아니야,왜 그랬을까,심화
한산도 대첩과 명량 대첩 중 먼저 있었던 싸움은?,한산도 대첩,명량 대첩,노량 해전,행주 대첩,전쟁이 시작된 해에 있었어,먼저와 나중,심화
